x-axis,1,2
second,Volt,Volt
-100.000E-03,+17.104E-03,+14.793E-03
-99.900E-03,+34.089E-03,+14.960E-03
-99.800E-03,+48.963E-03,+14.964E-03
-99.700E-03,+61.777E-03,+14.998E-03
-99.600E-03,+80.018E-03,+14.992E-03
-99.500E-03,+92.983E-03,+14.995E-03
-99.400E-03,+109.013E-03,+14.906E-03
-99.300E-03,+127.204E-03,+14.899E-03
-99.200E-03,+140.420E-03,+14.885E-03
-99.100E-03,+159.918E-03,+14.871E-03
-99.000E-03,+171.375E-03,+14.875E-03
-98.900E-03,+185.094E-03,+14.889E-03
-98.800E-03,+204.591E-03,+14.812E-03
-98.700E-03,+216.651E-03,+14.920E-03
-98.600E-03,+233.234E-03,+14.854E-03
-98.500E-03,+249.767E-03,+14.857E-03
-98.400E-03,+263.033E-03,+14.841E-03
-98.300E-03,+282.330E-03,+14.748E-03
-98.200E-03,+295.194E-03,+14.832E-03
-98.100E-03,+313.385E-03,+14.799E-03
-98.000E-03,+329.415E-03,+14.749E-03
-97.900E-03,+341.124E-03,+14.867E-03
-97.800E-03,+359.365E-03,+14.772E-03
-97.700E-03,+372.179E-03,+14.760E-03
-97.600E-03,+385.998E-03,+14.769E-03
-97.500E-03,+405.295E-03,+14.699E-03
-97.400E-03,+418.712E-03,+14.674E-03
-97.300E-03,+437.204E-03,+14.647E-03
-97.200E-03,+454.390E-03,+14.725E-03
-97.100E-03,+473.687E-03,+14.687E-03
-97.000E-03,+490.219E-03,+14.617E-03
-96.900E-03,+502.229E-03,+14.612E-03
-96.800E-03,+521.375E-03,+14.591E-03
-96.700E-03,+533.988E-03,+14.587E-03
-96.600E-03,+548.812E-03,+14.587E-03
-96.500E-03,+567.104E-03,+14.539E-03
-96.400E-03,+576.752E-03,+14.528E-03
-96.300E-03,+591.727E-03,+14.433E-03
-96.200E-03,+609.767E-03,+14.360E-03
-96.100E-03,+619.516E-03,+14.213E-03
-96.000E-03,+639.465E-03,+14.303E-03
-95.900E-03,+653.888E-03,+14.429E-03
-95.800E-03,+667.656E-03,+14.375E-03
-95.700E-03,+686.048E-03,+14.367E-03
-95.600E-03,+697.908E-03,+14.359E-03
-95.500E-03,+713.335E-03,+14.267E-03
-95.400E-03,+731.023E-03,+14.262E-03
-95.300E-03,+743.134E-03,+14.222E-03
-95.200E-03,+759.918E-03,+14.253E-03
-95.100E-03,+773.988E-03,+13.878E-03
-95.000E-03,+789.717E-03,+13.995E-03
-94.900E-03,+809.214E-03,+14.108E-03
-94.800E-03,+821.174E-03,+14.121E-03
-94.700E-03,+839.415E-03,+14.097E-03
-94.600E-03,+853.435E-03,+14.044E-03
-94.500E-03,+863.335E-03,+14.037E-03
-94.400E-03,+880.370E-03,+13.970E-03
-94.300E-03,+893.687E-03,+13.918E-03
-94.200E-03,+906.752E-03,+13.860E-03
-94.100E-03,+924.290E-03,+13.800E-03
-94.000E-03,+935.194E-03,+13.598E-03
-93.900E-03,+947.305E-03,+13.677E-03
-93.800E-03,+967.154E-03,+13.756E-03
-93.700E-03,+979.114E-03,+13.716E-03
-93.600E-03,+994.541E-03,+13.702E-03
-93.500E-03,+1.010571E+00,+13.710E-03
-93.400E-03,+1.023234E+00,+13.613E-03
-93.300E-03,+1.039867E+00,+13.636E-03
-93.200E-03,+1.052732E+00,+13.550E-03
-93.100E-03,+1.065948E+00,+13.476E-03
-93.000E-03,+1.082933E+00,+13.429E-03
-92.900E-03,+1.095797E+00,+13.341E-03
-92.800E-03,+1.108109E+00,+13.339E-03
-92.700E-03,+1.126752E+00,+13.388E-03
-92.600E-03,+1.138109E+00,+13.328E-03
-92.500E-03,+1.150269E+00,+13.286E-03
-92.400E-03,+1.167455E+00,+13.229E-03
-92.300E-03,+1.177104E+00,+13.252E-03
-92.200E-03,+1.189918E+00,+13.198E-03
-92.100E-03,+1.208159E+00,+13.114E-03
-92.000E-03,+1.221124E+00,+13.048E-03
-91.900E-03,+1.233435E+00,+13.012E-03
-91.800E-03,+1.250470E+00,+13.063E-03
-91.700E-03,+1.262631E+00,+12.898E-03
-91.600E-03,+1.278712E+00,+12.845E-03
-91.500E-03,+1.292732E+00,+12.860E-03
-91.400E-03,+1.304139E+00,+12.775E-03
-91.300E-03,+1.317656E+00,+12.728E-03
-91.200E-03,+1.331073E+00,+12.713E-03
-91.100E-03,+1.340621E+00,+12.580E-03
-91.000E-03,+1.356048E+00,+12.548E-03
-90.900E-03,+1.370521E+00,+12.491E-03
-90.800E-03,+1.382129E+00,+12.474E-03
-90.700E-03,+1.397104E+00,+12.301E-03
-90.600E-03,+1.411425E+00,+12.150E-03
-90.500E-03,+1.420119E+00,+12.229E-03
-90.400E-03,+1.434089E+00,+12.323E-03
-90.300E-03,+1.449817E+00,+12.295E-03
-90.200E-03,+1.458460E+00,+12.109E-03
-90.100E-03,+1.467656E+00,+12.152E-03
-90.000E-03,+1.481928E+00,+12.161E-03
-89.900E-03,+1.496601E+00,+12.028E-03
-89.800E-03,+1.505847E+00,+11.964E-03
-89.700E-03,+1.520923E+00,+11.907E-03
-89.600E-03,+1.533888E+00,+11.867E-03
-89.500E-03,+1.542732E+00,+11.819E-03
-89.400E-03,+1.556199E+00,+11.471E-03
-89.300E-03,+1.570671E+00,+11.577E-03
-89.200E-03,+1.579214E+00,+11.593E-03
-89.100E-03,+1.590822E+00,+11.619E-03
-89.000E-03,+1.606048E+00,+11.568E-03
-88.900E-03,+1.616651E+00,+11.439E-03
-88.800E-03,+1.622933E+00,+11.405E-03
